open,high,low,close
0.08715,0.08716,0.08703,0.08711
0.08712,0.08712,0.08694,0.08695
0.08694,0.08701,0.08677,0.08698
0.08695,0.08706,0.08682,0.08706
0.08705,0.08757,0.08702,0.08753
0.08751,0.08756,0.0873,0.08736
0.08735,0.08757,0.0873,0.08746
0.08746,0.08782,0.08746,0.08775
0.08774,0.08774,0.0876,0.08764
0.08764,0.08781,0.08763,0.08778
0.08778,0.08782,0.08775,0.08775
0.08775,0.088,0.08767,0.08781
0.08781,0.08792,0.08772,0.08772
0.08772,0.08784,0.08764,0.08783
0.08783,0.08786,0.08777,0.08781
0.0878,0.08809,0.08778,0.08804
0.08804,0.08811,0.0878,0.08784
0.08785,0.08787,0.08776,0.08779
0.08777,0.08799,0.08777,0.08786
0.08787,0.08809,0.08787,0.08797
0.08796,0.08805,0.08791,0.08795
0.08794,0.08799,0.08762,0.08771
0.08771,0.08771,0.08745,0.08748
0.08746,0.08764,0.08746,0.08759
0.08759,0.08759,0.08745,0.08746
0.08746,0.0876,0.08739,0.08757
0.08759,0.08773,0.08755,0.08757
0.0876,0.08764,0.08751,0.08755
0.08755,0.08755,0.08747,0.08751
0.0875,0.08764,0.0875,0.0876
0.0876,0.0877,0.08755,0.08767
0.08768,0.08787,0.08768,0.08784
0.08783,0.0879,0.08783,0.08784
0.08783,0.08789,0.08775,0.08789
0.08789,0.08803,0.08789,0.088
0.08802,0.08806,0.088,0.08801
0.08801,0.08801,0.08787,0.08793
0.08793,0.08795,0.08789,0.0879
0.08789,0.08789,0.08774,0.08775
0.08775,0.08784,0.08775,0.08777
0.08777,0.08782,0.08776,0.08778
0.08779,0.08805,0.08779,0.08802
0.08801,0.08805,0.08796,0.08803
0.08802,0.08802,0.08774,0.08775
0.08774,0.08774,0.08761,0.08765
0.08765,0.0878,0.08765,0.08779
0.08778,0.08781,0.08775,0.08779
0.0878,0.0878,0.08778,0.0878
0.08779,0.08789,0.08779,0.08789
0.08789,0.08803,0.08789,0.08802
0.08803,0.08804,0.08784,0.08784
0.08785,0.08785,0.08776,0.08777
0.08778,0.08778,0.0876,0.08761
0.0876,0.08761,0.08747,0.08751
0.08751,0.08756,0.08749,0.0875
0.0875,0.0875,0.08747,0.08747
0.08748,0.08748,0.08737,0.08738
0.08737,0.08738,0.08727,0.08729
0.08729,0.0873,0.0871,0.08713
0.08714,0.08714,0.08701,0.08704
0.08704,0.08737,0.08703,0.08736
0.08736,0.08736,0.08714,0.08717
0.08718,0.08734,0.08717,0.08734
0.08734,0.08736,0.0873,0.08732
0.08732,0.08748,0.08732,0.08744
0.08744,0.08744,0.08741,0.08743
0.08743,0.08744,0.08742,0.08742
0.08743,0.08756,0.08741,0.08756
0.08755,0.08767,0.08755,0.08762
0.08763,0.08765,0.08759,0.08763
0.08763,0.08782,0.08759,0.08774
0.08774,0.08786,0.08772,0.08786
0.08786,0.08799,0.08786,0.08798
0.08799,0.08804,0.08795,0.08804
0.08804,0.08839,0.08803,0.08828
0.08828,0.08828,0.08799,0.08801
0.08801,0.08808,0.08798,0.08806
0.08808,0.08826,0.08807,0.08821
0.08821,0.08841,0.08817,0.08824
0.08823,0.08823,0.08752,0.08762
0.08762,0.08765,0.0868,0.08688
0.08689,0.08741,0.08679,0.08737
0.08738,0.0874,0.08704,0.08707
0.08708,0.0871,0.08647,0.08662
0.0866,0.08673,0.08634,0.08637
0.08636,0.08668,0.08628,0.08641
0.08642,0.08653,0.08623,0.08653
0.08655,0.08682,0.08651,0.08659
0.08662,0.08679,0.08658,0.08669
0.08668,0.08673,0.08651,0.08651
0.08651,0.08679,0.08635,0.0867
0.08671,0.08685,0.08657,0.08681
0.08682,0.08697,0.08664,0.08682
0.08684,0.08707,0.08673,0.08673
0.08672,0.08704,0.08672,0.08695
0.08695,0.08698,0.08681,0.08685
0.08686,0.08716,0.08686,0.08696
0.08693,0.08703,0.08687,0.08694
0.08692,0.08701,0.08679,0.0868
0.0868,0.08685,0.08669,0.08671
0.08672,0.0869,0.08672,0.08687
0.08687,0.08687,0.08673,0.08684
0.08682,0.08698,0.0868,0.08688
0.08688,0.08695,0.0868,0.08694
0.08694,0.08703,0.08687,0.08695
0.08693,0.08695,0.08666,0.08666
0.08664,0.0868,0.08663,0.08679
0.08679,0.08679,0.08649,0.08659
0.08658,0.08671,0.08647,0.08653
0.08654,0.08654,0.08632,0.08647
0.08646,0.08656,0.08644,0.08652
0.08651,0.08651,0.08634,0.08642
0.0864,0.08663,0.08639,0.08661
0.08662,0.08674,0.08658,0.08672
0.08673,0.08681,0.08669,0.08669
0.08668,0.08694,0.08668,0.08686
0.08686,0.08689,0.08676,0.08679
0.08679,0.08679,0.08653,0.08662
0.08662,0.08678,0.08653,0.08678
0.08678,0.08706,0.08678,0.08697
0.08698,0.08703,0.08683,0.08702
0.08703,0.08704,0.08694,0.08696
0.08695,0.08701,0.08685,0.08695
0.08695,0.08711,0.0869,0.0871
0.0871,0.08717,0.08701,0.08707
0.08707,0.08708,0.08681,0.08692
0.08691,0.08699,0.08685,0.08693
0.08694,0.08694,0.08685,0.08694
0.08693,0.08711,0.08687,0.08711
0.0871,0.08717,0.087,0.08713
0.08713,0.08729,0.08703,0.08718
0.08718,0.0872,0.08704,0.08706
0.08707,0.08721,0.08707,0.08721
0.08722,0.08727,0.08716,0.08722
0.08722,0.08738,0.08722,0.08737
0.08738,0.0874,0.08726,0.08727
0.08727,0.08737,0.08719,0.08731
0.08732,0.08738,0.08731,0.08733
0.08731,0.08734,0.0872,0.08734
0.08734,0.08735,0.08722,0.08726
0.08727,0.08734,0.08725,0.08732
0.08733,0.08733,0.08703,0.08712
0.08712,0.08712,0.08693,0.08702
0.08703,0.08705,0.08679,0.08682
0.0868,0.08692,0.0868,0.08687
0.08687,0.08695,0.08678,0.08694
0.08692,0.0871,0.08691,0.08706
0.08706,0.08717,0.08697,0.08709
0.0871,0.08712,0.08698,0.08704
0.08704,0.08704,0.08687,0.08691
0.0869,0.0869,0.08676,0.08676
0.08677,0.08688,0.08674,0.08674
0.08675,0.08683,0.08674,0.08683
0.08683,0.08684,0.08672,0.0868
0.0868,0.0869,0.08678,0.08689
0.08687,0.08694,0.08681,0.08685
0.08685,0.08685,0.08676,0.08677
0.08676,0.0869,0.08676,0.0869
0.08689,0.08707,0.08687,0.087
0.08701,0.08712,0.08701,0.08708
0.08709,0.08759,0.08709,0.08757
0.08757,0.08759,0.08737,0.08746
0.08744,0.08744,0.0871,0.08715
0.08715,0.08739,0.08715,0.0873
0.08731,0.08731,0.08709,0.08715
0.08715,0.08715,0.08694,0.08694
0.08694,0.08702,0.08687,0.087
0.08701,0.08701,0.08674,0.08675
0.08676,0.08692,0.08657,0.08685
0.08685,0.087,0.08677,0.08699
0.087,0.08719,0.087,0.08716
0.08717,0.08718,0.08693,0.08702
0.08702,0.08716,0.08697,0.08713
0.08713,0.08716,0.08708,0.08712
0.08712,0.08719,0.0871,0.08719
0.08719,0.08736,0.08719,0.08727
0.08727,0.08739,0.08727,0.08738
0.08737,0.08738,0.08719,0.0872
0.08719,0.08724,0.08715,0.08719
0.0872,0.08742,0.0872,0.08736
0.08736,0.08737,0.08724,0.08728
0.08728,0.08728,0.08715,0.08726
0.08726,0.08733,0.08714,0.08725
0.08725,0.08732,0.08712,0.08712
0.08712,0.08751,0.08704,0.08742
0.08742,0.08755,0.08731,0.08733
0.08732,0.08732,0.08712,0.08712
0.08711,0.08736,0.08711,0.08725
0.08725,0.08734,0.08714,0.08732
0.08734,0.08734,0.08724,0.08729
0.08728,0.08728,0.08714,0.08718
0.08717,0.08732,0.08714,0.08728
0.08726,0.08728,0.08714,0.08728
0.08729,0.08739,0.08723,0.08739
0.08739,0.08753,0.08739,0.08746
0.08746,0.088,0.08745,0.08785
0.08785,0.08818,0.08778,0.08812
0.08811,0.08812,0.08777,0.08794
0.08796,0.08816,0.0879,0.0879
0.08791,0.08797,0.08771,0.08782
0.08782,0.08788,0.08749,0.08749
0.0875,0.0875,0.08736,0.08744
0.08744,0.08758,0.08744,0.08747
0.08747,0.08769,0.08743,0.08767
0.08765,0.08765,0.08736,0.08737
0.08737,0.08761,0.08736,0.08758
0.08756,0.08757,0.08734,0.0874
0.08741,0.08743,0.08717,0.08719
0.08719,0.08721,0.08697,0.08712
0.08713,0.08719,0.08705,0.08707
0.08707,0.08708,0.08688,0.08696
0.08697,0.0872,0.08688,0.08714
0.08713,0.08719,0.08706,0.08717
0.08718,0.08722,0.08687,0.0869
0.08691,0.08691,0.08659,0.08667
0.08668,0.08668,0.08654,0.08661
0.08662,0.08665,0.08639,0.08664
0.08663,0.08663,0.08614,0.08632
0.08631,0.08636,0.08614,0.08618
0.08618,0.08648,0.08618,0.08623
0.08625,0.08629,0.08579,0.08597
0.08597,0.08602,0.08588,0.08596
0.08596,0.08596,0.08583,0.08588
0.08587,0.08588,0.08531,0.08583
0.08585,0.08586,0.08568,0.08569
0.08572,0.08597,0.08563,0.08588
0.08587,0.08603,0.08582,0.08598
0.08598,0.08608,0.08589,0.08607
0.08608,0.08632,0.08603,0.08624
0.08625,0.0863,0.08616,0.08623
0.08622,0.08632,0.08619,0.08627
0.08627,0.08641,0.08621,0.08638
0.08638,0.08657,0.08633,0.08649
0.0865,0.08651,0.08636,0.08645
0.08644,0.08644,0.08629,0.08635
0.08635,0.08641,0.08616,0.08619
0.0862,0.08627,0.08615,0.08619
0.08621,0.08621,0.08601,0.08601
0.086,0.086,0.0856,0.0858
0.0858,0.08599,0.08568,0.08598
0.08599,0.08601,0.08587,0.08599
0.08599,0.08614,0.08584,0.08614
0.08614,0.08633,0.08612,0.08627
0.08626,0.0863,0.08616,0.08624
0.08622,0.08629,0.08615,0.08616
0.08616,0.08623,0.08615,0.08616
0.08615,0.08623,0.08613,0.08623
0.08624,0.08644,0.08615,0.08642
0.08642,0.08644,0.08614,0.0863
0.08629,0.08629,0.08614,0.08626
0.08626,0.08626,0.08609,0.08611
0.0861,0.0861,0.08596,0.08606
0.08606,0.08613,0.08605,0.08611
0.08611,0.08611,0.08594,0.08604
0.08603,0.08603,0.08583,0.08589
0.08589,0.0859,0.08577,0.08585
0.08586,0.08594,0.08581,0.08583
0.08583,0.08599,0.08583,0.08599
0.08599,0.0861,0.08597,0.08608
0.08608,0.08625,0.08601,0.08624
0.08625,0.08627,0.08611,0.08611
0.08611,0.08612,0.08545,0.08548
0.08548,0.08564,0.0854,0.08552
0.08552,0.08579,0.0854,0.08574
0.08575,0.08576,0.08553,0.08555
0.08555,0.08559,0.0852,0.08536
0.08537,0.0855,0.085,0.08513
0.08512,0.08514,0.08484,0.08489
0.08489,0.0852,0.08477,0.08513
0.08512,0.08521,0.08499,0.08517
0.08516,0.08527,0.08511,0.08527
0.08526,0.08533,0.08515,0.08515
0.08514,0.08525,0.08511,0.0852
0.08521,0.08535,0.08519,0.08532
0.0853,0.08542,0.08525,0.0854
0.08539,0.0854,0.08524,0.08533
0.08533,0.08536,0.08513,0.08528
0.0853,0.08534,0.08513,0.08517
0.08517,0.08536,0.08517,0.08536
0.08537,0.08547,0.08536,0.08544
0.08544,0.08549,0.08541,0.08548
0.08548,0.08558,0.08542,0.08546
0.08546,0.08548,0.08532,0.08532
0.08531,0.08544,0.08527,0.08537
0.08537,0.08551,0.08537,0.0855
0.0855,0.08555,0.08541,0.08542
0.08541,0.08547,0.08533,0.08547
0.08546,0.08553,0.08539,0.08539
0.08539,0.08539,0.0853,0.08533
0.08535,0.0855,0.08533,0.08548
0.08548,0.08551,0.08543,0.08544
0.08543,0.08556,0.08536,0.08556
0.08556,0.08567,0.08555,0.08567
